GeneID	Lenght	#Reads	EC#	RPKM	Archaea	Eukaryota	Bacteria	Actinobacteria	Bacteroidetes	Proteobacteria	Gammaproteobacteria	Betaproteobacteria	Alphaproteobacteria	Firmicutes	Bacilli	Clostridia	Clostridiaceae	Eubacteriaceae	Lachnospiraceae	Oscillospiraceae	Ruminococcaceae
WP_016227588.1	1143	2	3.5.1.25	16.1635146399	0.0	0.0	0.0	0.0	8.08175731994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.08175731994	0.0
SCI73732.1	1623	2	0.0.0.0	11.383177593	0.0	0.0	0.0	0.0	5.69158879648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.69158879648	0.0
WP_044937011.1	1062	2	1.1.1.103	17.3963250785	8.69816253926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.69816253926	0.0
WP_035300765.1	876	2	0.0.0.0	21.0900653349	10.5450326675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5450326675	0.0
WP_016295551.1	678	2	5.1.3.1	27.2491109637	0.0	0.0	0.0	0.0	13.6245554818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6245554818	0.0
WP_016227088.1	1065	2	0.0.0.0	17.3473213459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.67366067295	0.0	0.0	0.0	0.0	0.0	0.0	8.67366067295	0.0
SCI47833.1	1767	2	4.1.1.70	10.4555162611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22775813056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22775813056	0.0
WP_008982330.1	873	2	0.0.0.0	21.1625397862	10.5812698931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5812698931	0.0
WP_058723655.1	999	2	3.6.3.24	18.493390624	0.0	0.0	0.0	0.0	0.0	0.0	9.246695312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.246695312	0.0
CDB67552.1	1572	2	0.0.0.0	11.7524791561	0.0	0.0	0.0	0.0	5.87623957805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87623957805	0.0
gi|347530298|ref|NC_015977.1|:c1823154-1822303	852	8	1.17.7.4	86.7366067295	10.8420758412	0.0	0.0	0.0	75.8945308883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_066537122.1	189	2	0.0.0.0	97.7507790126	0.0	0.0	0.0	0.0	0.0	0.0	48.8753895063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.8753895063	0.0
WP_008680989.1	474	2	2.7.1.202	38.9765764417	0.0	0.0	0.0	0.0	19.4882882209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4882882209	0.0
WP_055095744.1	3291	2	0.0.0.0	5.61376397247	0.0	2.80688198623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.80688198623	0.0
WP_022220222.1	237	2	0.0.0.0	77.9531528835	38.9765764417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.9765764417	0.0
SCJ32913.1	963	2	2.7.1.4	19.1847323296	0.0	0.0	0.0	0.0	9.59236616479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.59236616479	0.0
WP_023347411.1	1119	2	0.0.0.0	16.5101851952	0.0	0.0	0.0	0.0	8.25509259758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.25509259758	0.0
CDC72186.1	1194	2	4.4.1.11	15.4731132608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.4731132608	0.0
WP_016222308.1	1443	3	0.0.0.0	19.2046748788	0.0	0.0	0.0	0.0	12.8031165859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.40155829293	0.0
WP_054331553.1	309	2	0.0.0.0	59.7893114349	29.8946557175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8946557175	0.0
CRY95529.1	1545	3	0.0.0.0	17.9367934305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.9367934305	0.0
WP_016292676.1	1176	13	3.5.99.6	102.114653076	0.0	0.0	0.0	0.0	70.6947598216	0.0	0.0	15.709946627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85497331351	0.0
CDD56077.1	1008	2	1.1.1.94	18.3282710649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.16413553243	0.0	9.16413553243	0.0
SCH43662.1	1416	2	6.4.1.1	13.0472438089	6.52362190444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.52362190444	0.0
WP_016227758.1	1812	2	3.6.5.n1	10.1958594003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09792970016	0.0	0.0	0.0	0.0	0.0	0.0	5.09792970016	0.0
CCZ28642.1	1365	2	2.3.3.16	13.5347232479	0.0	0.0	0.0	0.0	6.76736162395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.76736162395	0.0
WP_025486939.1	5220	2	0.0.0.0	3.53925234356	0.0	0.0	0.0	0.0	1.76962617178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76962617178	0.0
SCY28425.1	1017	2	0.0.0.0	18.1660739758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0830369879	0.0	0.0	0.0	0.0	0.0	0.0	9.0830369879	0.0
WP_016286418.1	1749	2	2.7.13.3	10.563120202	0.0	0.0	0.0	0.0	5.28156010102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28156010102	0.0
SDO59433.1	1437	2	0.0.0.0	12.8565742751	0.0	0.0	0.0	6.42828713757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.42828713757	0.0
WP_022045684.1	1458	2	1.1.1.205	12.6713972794	0.0	0.0	0.0	0.0	6.33569863971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33569863971	0.0
CUP66818.1	1167	16	0.0.0.0	126.648824222	7.91555151387	0.0	0.0	0.0	0.0	0.0	110.817721194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91555151387	0.0
CCX40130.1	978	5	1.1.1.28	47.2262199217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.7809759374	0.0	0.0	0.0	0.0	0.0	0.0	9.44524398435	0.0
WP_016292562.1	384	3	0.0.0.0	72.1675673179	0.0	0.0	0.0	0.0	48.1117115453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0558557726	0.0
WP_025231031.1	168	2	0.0.0.0	109.969626389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.9848131946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.9848131946	0.0
WP_016306951.1	1263	2	0.0.0.0	14.6277887834	0.0	0.0	0.0	0.0	7.31389439168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.31389439168	0.0
gi|350268398|ref|NC_016048.1|:c3823752-3821437	2316	5	3.6.4.6	19.9426783607	3.98853567215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.9656070164	0.0	0.0	0.0	0.0	3.98853567215	0.0	0.0	0.0
WP_033126871.1	1119	4	1.4.1.1	33.0203703903	8.25509259758	0.0	0.0	0.0	16.5101851952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.25509259758	0.0
WP_016316375.1	792	4	2.7.1.92	46.6537808924	0.0	0.0	0.0	0.0	0.0	0.0	34.9903356693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6634452231	0.0
SCG89117.1	1284	2	0.0.0.0	14.3885492472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.19427462359	0.0	7.19427462359	0.0
CDB25571.1	882	2	0.0.0.0	20.9465955027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4732977514	0.0	10.4732977514	0.0
CDA68221.1	285	2	0.0.0.0	64.8242008189	0.0	0.0	0.0	0.0	32.4121004094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.4121004094	0.0
CDD38324.1	3213	2	6.3.5.5	5.75004582427	2.87502291214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87502291214	0.0
CDB26451.1	828	2	2.1.1.45	22.3126778181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.156338909	0.0	0.0	0.0	0.0	0.0	0.0	11.156338909	0.0
WP_066049724.1	1905	2	6.1.1.3	9.69810878393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.84905439196	0.0	0.0	0.0	0.0	0.0	0.0	4.84905439196	0.0
WP_036927416.1	1587	2	3.6.3.14	11.6413971225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.82069856124	0.0	5.82069856124	0.0
WP_016226602.1	1221	3	0.0.0.0	22.6964339476	0.0	0.0	0.0	0.0	15.1309559651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56547798255	0.0
CDA06960.1	1344	2	0.0.0.0	13.7462032986	0.0	0.0	0.0	0.0	6.87310164932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.87310164932	0.0
CDC71495.1	237	2	0.0.0.0	77.9531528835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.9765764417	0.0	38.9765764417	0.0
WP_004304025.1	477	2	1.16.3.2	38.7314407408	0.0	19.3657203704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3657203704	0.0
WP_025019671.1	750	2	6.3.1.20	24.6331963112	0.0	12.3165981556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3165981556	0.0
CDB06278.1	3114	2	0.0.0.0	5.93285074932	0.0	2.96642537466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96642537466	0.0
WP_025641361.1	591	2	0.0.0.0	31.2604014101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6302007051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6302007051	0.0
WP_019727566.1	1674	2	0.0.0.0	11.0363782756	5.51818913781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.51818913781	0.0
gi|339441064|ref|NC_015737.1|:c308673-308155	519	1	3.6.3.14	17.798552248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.798552248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDE41063.1	1047	2	2.4.99.17	17.6455560968	0.0	8.82277804842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.82277804842	0.0
WP_027627142.1	933	2	4.1.2.13	19.8016047518	0.0	0.0	0.0	0.0	0.0	0.0	9.90080237588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.90080237588	0.0
WP_031388891.1	1317	2	2.7.2.4	14.0280161225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01400806127	0.0	0.0	0.0	0.0	0.0	0.0	7.01400806127	0.0
CDE56903.1	810	2	2.4.2.1	22.8085151029	0.0	11.4042575515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4042575515	0.0
WP_022253393.1	1812	2	3.6.5.n1	10.1958594003	0.0	0.0	0.0	0.0	5.09792970016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09792970016	0.0
WP_028986853.1	1986	2	0.0.0.0	9.30256658277	0.0	0.0	0.0	0.0	0.0	0.0	4.65128329139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65128329139	0.0
gi|302384444|ref|NC_014376.1|:c4050331-4049363	969	1	2.7.7.6	9.53297070866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.53297070866	0.0	0.0	0.0
AEN98326.1	168	2	0.0.0.0	109.969626389	0.0	0.0	0.0	0.0	54.9848131946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.9848131946	0.0
WP_016304192.1	1002	2	0.0.0.0	18.438021191	0.0	0.0	0.0	0.0	9.2190105955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2190105955	0.0
EOS42924.1	1446	2	0.0.0.0	12.7765541033	0.0	0.0	0.0	0.0	6.38827705165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.38827705165	0.0
SDA78520.1	1272	2	2.7.7.27	14.5242902778	0.0	0.0	0.0	0.0	7.26214513891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.26214513891	0.0
CDA67858.1	1014	2	0.0.0.0	18.2198197568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.10990987839	0.0	0.0	0.0	0.0	0.0	0.0	9.10990987839	0.0
CDA25154.1	1449	2	2.4.1.21	12.7501016103	0.0	0.0	0.0	0.0	6.37505080517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.37505080517	0.0
WP_016223531.1	438	2	5.1.3.29	42.1801306698	0.0	0.0	0.0	0.0	21.0900653349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0900653349	0.0
WP_016290837.1	1368	2	0.0.0.0	13.5050418373	0.0	0.0	0.0	0.0	6.75252091863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.75252091863	0.0
WP_044933219.1	1755	2	2.3.3.13	10.5270069706	0.0	0.0	0.0	0.0	5.26350348529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26350348529	0.0
WP_023347357.1	606	2	2.7.1.28	30.486629098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.243314549	0.0	0.0	0.0	0.0	0.0	0.0	15.243314549	0.0
WP_029033446.1	1938	2	3.6.1.3	9.53297070866	0.0	4.76648535433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.76648535433	0.0
WP_016278314.1	1974	2	0.0.0.0	9.35911713951	0.0	4.67955856975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67955856975	0.0
WP_008400739.1	1551	2	6.1.1.14	11.9116036321	5.95580181605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.95580181605	0.0
WP_035103432.1	798	6	2.1.1.80	69.4545008774	11.5757501462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.7272504387	0.0	0.0	0.0	0.0	0.0	11.5757501462	11.5757501462	0.0
WP_009317153.1	2154	2	3.6.5.n1	8.5770182142	0.0	4.2885091071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2885091071	0.0
WP_035103589.1	1299	4	0.0.0.0	28.4447994355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3335995767	0.0	0.0	0.0	0.0	0.0	0.0	7.11119985889	0.0
CCZ27630.1	987	2	2.1.3.2	18.718234279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.35911713951	0.0	0.0	0.0	0.0	0.0	0.0	9.35911713951	0.0
WP_016322344.1	2625	5	2.7.9.1	17.5951402223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5570841334	0.0	0.0	0.0	0.0	0.0	0.0	7.03805608891	0.0
CCY43389.1	909	2	6.3.3.2	20.3244193987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1622096993	0.0	0.0	0.0	0.0	0.0	0.0	10.1622096993	0.0
gi|479185170|ref|NC_021030.1|:1041065-1041784	720	1	2.3.2.27	12.8297897454	0.0	12.8297897454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_016292135.1	432	2	0.0.0.0	42.765965818	21.382982909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.382982909	0.0
WP_044961346.1	2205	2	1.17.4.2	8.37863820108	0.0	0.0	0.0	0.0	0.0	0.0	4.18931910054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18931910054	0.0
SDJ15120.1	1242	3	3.3.1.1	22.3126778181	0.0	0.0	0.0	0.0	14.8751185454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4375592727	0.0
CDC47325.1	1734	2	5.4.2.2	10.6544966744	0.0	0.0	0.0	0.0	5.32724833719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32724833719	0.0
WP_064325919.1	1644	2	4.2.1.2	11.2377720398	0.0	5.61888601989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.61888601989	0.0
WP_033119062.1	420	6	0.0.0.0	131.963551667	65.9817758335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.9878505557	0.0	0.0	0.0	0.0	0.0	0.0	21.9939252778	0.0
CCZ44816.1	2724	2	2.7.9.1	6.78226770682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39113385341	0.0	3.39113385341	0.0
WP_018336189.1	309	2	0.0.0.0	59.7893114349	0.0	29.8946557175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8946557175	0.0
CRY98108.1	1290	2	2.7.1.6	14.3216257623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.16081288116	0.0	0.0	0.0	0.0	0.0	0.0	7.16081288116	0.0
WP_005332593.1	1350	2	0.0.0.0	13.6851090618	0.0	0.0	0.0	0.0	6.84255453088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.84255453088	0.0
WP_055066171.1	1122	2	1.2.7.7	16.466040315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.23302015748	0.0	0.0	0.0	0.0	0.0	0.0	8.23302015748	0.0
WP_007885153.1	1209	2	1.1.1.103	15.2811391509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64056957543	0.0	0.0	0.0	0.0	0.0	0.0	7.64056957543	0.0
SCH54432.1	1497	3	3.6.3.17	18.5119210755	0.0	0.0	0.0	0.0	12.341280717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17064035851	0.0
SDH35738.1	1167	2	0.0.0.0	15.8311030277	0.0	0.0	0.0	0.0	0.0	7.91555151387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91555151387	0.0
CBK97831.1	1185	2	1.1.1.192	15.5906305767	0.0	7.79531528835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.79531528835	0.0
WP_066735741.1	1146	2	1.1.1.38	16.1212017743	0.0	0.0	0.0	0.0	8.06060088717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06060088717	0.0
WP_016320563.1	1131	2	3.5.1.25	16.3350108164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16750540822	0.0	0.0	0.0	0.0	0.0	0.0	8.16750540822	0.0
SCJ60592.1	1920	2	4.2.1.3	9.62234230905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.81117115453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.81117115453	0.0
gi|257789778|ref|NC_013204.1|:c3327454-3325787	1668	1	6.3.4.3	5.53803873902	0.0	0.0	0.0	0.0	5.53803873902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_016316746.1	1347	4	1.4.1.2	27.4311762931	0.0	0.0	0.0	0.0	0.0	0.0	20.5733822198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.85779407327	0.0
CCZ04061.1	3846	2	2.7.7.6	4.8036654273	0.0	0.0	0.0	0.0	0.0	2.40183271365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.40183271365	0.0
WP_016315780.1	1011	2	1.2.1.12	18.2738845038	0.0	0.0	0.0	0.0	0.0	0.0	9.13694225192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.13694225192	0.0
