#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_528	2159	18	N	Y	1	764	*,528,*
contig_17	2076	2	N	N	2	*	*,17,*
contig_140	2018	169	N	N	1	*	*,140,*
contig_584	1997	386	N	N	1	*	*,584,*
contig_447	1980	278	N	N	1	*	*,447,*
contig_3	1932	29	N	Y	1	728	*,3,*
contig_582	1876	10	N	Y	1	760	*,582,*
contig_581	1858	430	N	N	1	*	*,581,*
contig_123	1829	329	N	N	1	*	*,123,*
contig_129	1797	331	N	N	1	*	*,129,*
contig_444	1746	563	N	N	1	*	*,444,*
contig_586	1659	102	N	N	1	*	*,586,*
contig_579	1598	479	N	N	1	*	*,579,*
contig_309	1586	513	N	N	1	*	*,309,*
contig_253	1561	520	N	N	1	*	*,253,*
contig_575	1506	568	N	N	1	*	*,575,*
contig_550	1457	520	N	N	1	*	*,550,*
contig_559	1398	3	N	Y	1	768	*,559,*
contig_518	1377	176	N	N	1	*	*,518,*
contig_177	1335	500	N	N	1	*	*,177,*
contig_252	1325	510	N	N	1	*	*,252,*
contig_558	1295	179	N	N	1	*	*,558,*
contig_459	1274	5	N	N	1	*	*,459,*
contig_184	1268	10	N	N	1	*	*,184,*
contig_523	1260	7	N	N	1	*	*,523,*
contig_490	1255	509	N	N	1	*	*,490,*
contig_338	1250	529	N	N	1	*	*,338,*
contig_587	1225	324	N	N	1	*	*,587,*
contig_451	1213	435	N	N	1	*	*,451,*
contig_297	1189	4	N	N	1	*	*,297,*
contig_275	1164	9	N	N	1	*	*,275,*
contig_171	1150	4	N	N	1	*	*,171,*
contig_43	1128	9	N	N	1	*	*,43,*
contig_327	1112	8	N	N	1	*	*,327,*
contig_381	1089	526	N	N	1	*	*,381,*
contig_403	1084	1	N	N	1	*	*,403,*
contig_70	1057	8	N	N	1	*	*,70,*
contig_62	1053	1	Y	Y	1	96	62
contig_258	1042	561	N	N	1	*	*,258,*
contig_128	1008	2	N	N	1	*	*,128,*
contig_183	1007	7	N	N	1	*	*,183,*
contig_285	1007	3	N	N	1	*	*,285,*
contig_311	973	525	N	N	1	*	*,311,*
contig_312	937	524	Y	Y	1	*	312
contig_52	934	5	N	N	1	*	*,52,*
contig_248	924	532	Y	Y	1	*	248
contig_233	919	359	Y	Y	1	*	233
contig_542	894	403	Y	Y	1	*	542
contig_254	882	520	N	N	1	*	*,254,*
contig_157	847	4	N	Y	1	734	*,157,*
contig_286	841	10	N	N	1	*	*,286,*
contig_449	821	459	N	N	1	*	*,449,*
contig_491	773	522	N	N	1	*	*,491,*
contig_561	763	49	Y	Y	1	*	561
contig_437	762	469	Y	Y	1	*	437
contig_351	745	473	Y	Y	1	*	351
contig_530	745	70	Y	Y	1	698	530
contig_438	740	353	Y	Y	1	*	438
contig_448	736	534	N	Y	1	*	*,448,*
contig_520	726	369	Y	Y	1	*	520
contig_547	725	87	Y	Y	1	*	547
contig_396	720	1	Y	Y	1	536	396
contig_517	717	97	Y	Y	1	682	517
contig_472	705	36	N	N	1	*	*,472,*
contig_257	687	528	Y	Y	1	*	257
contig_271	684	566	Y	Y	1	*	271
contig_270	680	564	N	N	1	*	*,270,*
contig_380	680	529	Y	Y	1	*	380
contig_352	679	485	Y	Y	1	*	352
contig_418	677	149	Y	Y	1	*	418
contig_412	666	546	N	N	1	*	*,412,*
contig_535	658	68	Y	Y	1	*	535
contig_560	657	69	Y	Y	1	*	560
contig_413	653	559	N	N	1	*	*,413,*
contig_414	651	552	N	N	1	*	*,414,*
contig_408	650	48	Y	Y	1	554	408
contig_446	646	380	Y	Y	1	*	446
contig_317	641	102	Y	Y	1	440	317
contig_416	631	545	Y	Y	1	*	416
contig_333	626	459	N	N	1	*	*,333,*
contig_350	624	540	Y	Y	1	*	350
contig_354	613	76	Y	Y	1	*	354
contig_334	612	468	N	N	1	*	*,334,*
contig_320	610	106	Y	Y	1	*	320
contig_485	608	31	N	N	1	*	*,485,*
contig_201	603	86	Y	Y	1	*	201
contig_464	602	122	N	N	1	*	*,464,*
contig_324	596	112	N	N	1	*	*,324,*
contig_337	595	515	Y	Y	1	*	337
contig_511	591	103	Y	Y	1	674	511
contig_101	590	74	Y	Y	1	*	101
contig_509	587	299	Y	Y	1	*	509
contig_521	587	46	Y	Y	1	686	521
contig_268	586	525	Y	Y	1	*	268
contig_510	586	441	Y	Y	1	*	510
contig_105	581	491	N	Y	1	*	*,105,*
contig_104	578	456	N	N	1	*	*,104,*
contig_113	578	46	Y	Y	1	180	113
contig_256	577	506	Y	Y	1	*	256
contig_443	577	584	Y	Y	1	*	443
contig_310	574	530	Y	Y	1	*	310
contig_555	571	57	Y	Y	1	*	555
contig_127	569	86	Y	Y	1	192	127
contig_308	565	500	Y	Y	1	*	308
contig_492	564	499	N	N	1	*	*,492,*
contig_119	562	514	Y	Y	1	*	119
contig_158	561	81	Y	Y	1	*	158
contig_539	561	41	Y	Y	1	712	539
contig_152	556	9	Y	Y	1	226	152
contig_331	553	515	Y	Y	1	*	331
contig_557	553	253	Y	Y	1	*	557
contig_24	552	41	N	N	1	*	*,24,*
contig_341	552	83	Y	Y	1	460	341
contig_417	551	46	N	Y	1	752	*,417,*
contig_411	546	553	N	Y	1	*	*,411,*
contig_264	545	469	Y	Y	1	*	264
contig_432	545	87	Y	Y	1	574	432
contig_250	541	511	N	N	1	*	*,250,*
contig_118	540	87	Y	Y	1	188	118
contig_251	540	496	Y	Y	1	*	251
contig_319	540	72	Y	Y	1	442	319
contig_410	540	519	N	N	1	*	*,410,*
contig_489	538	496	Y	Y	1	*	489
contig_145	537	17	N	N	1	*	*,145,*
contig_121	536	453	N	N	1	*	*,121,*
contig_182	536	13	N	N	1	*	*,182,*
contig_122	535	435	N	N	1	*	*,122,*
contig_196	534	1	Y	Y	1	296	196
contig_537	534	48	Y	Y	1	*	537
contig_494	533	43	Y	Y	1	646	494
contig_194	528	82	Y	Y	1	292	194
contig_272	527	429	Y	Y	1	*	272
contig_276	526	11	Y	Y	1	390	276
contig_524	521	388	Y	Y	1	*	524
contig_97	517	6	Y	Y	1	160	97
contig_347	516	563	N	N	1	*	*,347,*
contig_348	516	555	N	N	1	*	*,348,*
contig_463	512	327	Y	Y	1	*	463
contig_356	509	493	Y	Y	1	*	356
contig_454	508	520	N	N	1	*	*,454,*
contig_50	507	73	Y	Y	1	72	50
contig_247	506	565	Y	Y	1	*	247
contig_514	506	510	N	N	1	*	*,514,*
contig_515	506	514	N	N	1	*	*,515,*
contig_124	502	41	Y	Y	1	*	124
contig_552	502	503	N	N	1	*	*,552,*
contig_553	502	497	Y	Y	1	*	553
contig_147	501	50	N	N	1	*	*,147,*
contig_200	501	73	Y	Y	1	302	200
contig_452	501	519	N	N	1	*	*,452,*
contig_259	498	550	N	Y	1	*	*,259,*
contig_314	498	492	Y	Y	1	*	314
contig_453	497	511	N	Y	1	*	*,453,*
contig_551	497	517	Y	Y	1	*	551
contig_544	265	7	Y	Y	1	716	544
contig_536	222	1	Y	Y	1	708	536
contig_242	69	1	N	Y	1	738	*,242,*
contig_22	16	2	N	N	1	*	*,22,*
contig_479	14	3	N	N	1	*	*,479,*
